id,question,A,B,C,D,reponse
1,Quel animal est connu pour le roi de la jungle ?,le dauphin,la baleine bleue,le lion,le chameau,C
2,Quel animal est connu pour le plus grand animal ?,le lion,la baleine bleue,le dauphin,le chameau,B
3,Quel animal est connu pour un mammifère marin intelligent ?,la baleine bleue,le dauphin,le chameau,le lion,B
4,Quel animal est connu pour vivre dans le désert ?,le dauphin,la baleine bleue,le lion,le chameau,D
5,Quel animal est connu pour avoir une carapace ?,le lion,le dauphin,la tortue,la baleine bleue,C
6,Quel animal est connu pour voler très haut ?,l’aigle,la baleine bleue,le dauphin,le lion,A
7,Quel animal est connu pour miauler ?,le lion,le chat,la baleine bleue,le dauphin,B
8,Quel animal est connu pour produire du miel ?,la baleine bleue,le dauphin,l’abeille,le lion,C
9,Quel animal est connu pour être le meilleur ami de l’humain ?,le chien,la baleine bleue,le lion,le dauphin,A
10,Quel animal est connu pour galoper ?,le cheval,la baleine bleue,le lion,le dauphin,A
11,Quel animal est connu pour produire de la laine ?,la baleine bleue,le mouton,le lion,le dauphin,B
12,Quel animal est connu pour donner du lait ?,la vache,le lion,le dauphin,la baleine bleue,A
13,Quel animal est connu pour chanter le matin ?,le lion,le coq,la baleine bleue,le dauphin,B
14,Quel animal est connu pour grimper aux arbres ?,le dauphin,le singe,la baleine bleue,le lion,B
15,Quel animal est connu pour manger du bambou ?,le lion,le dauphin,le panda,la baleine bleue,C
16,Quel animal est connu pour sauter ?,le lion,le kangourou,le dauphin,la baleine bleue,B
17,Quel animal est connu pour vivre dans l’Arctique ?,l’ours polaire,la baleine bleue,le lion,le dauphin,A
18,Quel animal est connu pour vivre au pôle Sud ?,le lion,le pingouin,le dauphin,la baleine bleue,B
19,Quel animal est connu pour être rusé ?,le renard,la baleine bleue,le dauphin,le lion,A
20,Quel animal est connu pour vivre en meute ?,le lion,la baleine bleue,le dauphin,le loup,D
21,Laquelle de ces planètes fait partie du système solaire ?,Terre,Mercure,Mars,Vénus,B
22,Laquelle de ces planètes fait partie du système solaire ?,Vénus,Terre,Mars,Mercure,A
23,Laquelle de ces planètes fait partie du système solaire ?,Mercure,Terre,Mars,Vénus,B
24,Laquelle de ces planètes fait partie du système solaire ?,Vénus,Terre,Mars,Mercure,C
25,Laquelle de ces planètes fait partie du système solaire ?,Mercure,Vénus,Jupiter,Terre,C
26,Laquelle de ces planètes fait partie du système solaire ?,Vénus,Saturne,Terre,Mercure,B
27,Laquelle de ces planètes fait partie du système solaire ?,Terre,Mercure,Uranus,Vénus,C
28,Laquelle de ces planètes fait partie du système solaire ?,Vénus,Terre,Mercure,Neptune,D
29,Lequel de ces choix est un continent ?,Amérique du Sud,Afrique,Amérique du Nord,Antarctique,B
30,Lequel de ces choix est un continent ?,Amérique du Nord,Afrique,Antarctique,Amérique du Sud,A
31,Lequel de ces choix est un continent ?,Afrique,Antarctique,Amérique du Nord,Amérique du Sud,D
